I = 3900000, Safe = 0.01613, UnSafe = 0.02137, Safe / Unsafe = 0.75505
I = 4000000, Safe = 0.01611, UnSafe = 0.02135, Safe / Unsafe = 0.75472
I = 4100000, Safe = 0.01612, UnSafe = 0.02134, Safe / Unsafe = 0.75523
I = 4200000, Safe = 0.01614, UnSafe = 0.02135, Safe / Unsafe = 0.75619
I = 4300000, Safe = 0.01615, UnSafe = 0.02134, Safe / Unsafe = 0.75694
I = 4400000, Safe = 0.01615, UnSafe = 0.02134, Safe / Unsafe = 0.75689
I = 4500000, Safe = 0.01614, UnSafe = 0.02135, Safe / Unsafe = 0.75619
I = 4600000, Safe = 0.01615, UnSafe = 0.02135, Safe / Unsafe = 0.75646
I = 4700000, Safe = 0.01615, UnSafe = 0.02135, Safe / Unsafe = 0.75619
I = 4800000, Safe = 0.01615, UnSafe = 0.02136, Safe / Unsafe = 0.75625
I = 4900000, Safe = 0.01615, UnSafe = 0.02135, Safe / Unsafe = 0.75640
I = 5000000, Safe = 0.01614, UnSafe = 0.02136, Safe / Unsafe = 0.75567
I = 5100000, Safe = 0.01614, UnSafe = 0.02135, Safe / Unsafe = 0.75614
I = 5200000, Safe = 0.01614, UnSafe = 0.02135, Safe / Unsafe = 0.75596
I = 5300000, Safe = 0.01613, UnSafe = 0.02136, Safe / Unsafe = 0.75539
I = 5400000, Safe = 0.01613, UnSafe = 0.02136, Safe / Unsafe = 0.75520
I = 5500000, Safe = 0.01613, UnSafe = 0.02135, Safe / Unsafe = 0.75531
I = 5600000, Safe = 0.01612, UnSafe = 0.02135, Safe / Unsafe = 0.75529
I = 5700000, Safe = 0.01612, UnSafe = 0.02135, Safe / Unsafe = 0.75498
I = 5800000, Safe = 0.01612, UnSafe = 0.02134, Safe / Unsafe = 0.75571
I = 5900000, Safe = 0.01613, UnSafe = 0.02132, Safe / Unsafe = 0.75639
I = 6000000, Safe = 0.01613, UnSafe = 0.02132, Safe / Unsafe = 0.75681
I = 6100000, Safe = 0.01613, UnSafe = 0.02133, Safe / Unsafe = 0.75644
I = 6200000, Safe = 0.01613, UnSafe = 0.02133, Safe / Unsafe = 0.75631
I = 6300000, Safe = 0.01613, UnSafe = 0.02133, Safe / Unsafe = 0.75627
I = 6400000, Safe = 0.01613, UnSafe = 0.02133, Safe / Unsafe = 0.75633
I = 6500000, Safe = 0.01614, UnSafe = 0.02133, Safe / Unsafe = 0.75675
I = 6600000, Safe = 0.01614, UnSafe = 0.02132, Safe / Unsafe = 0.75684
I = 6700000, Safe = 0.01614, UnSafe = 0.02132, Safe / Unsafe = 0.75697
I = 6800000, Safe = 0.01613, UnSafe = 0.02132, Safe / Unsafe = 0.75658
I = 6900000, Safe = 0.01614, UnSafe = 0.02133, Safe / Unsafe = 0.75671
I = 7000000, Safe = 0.01614, UnSafe = 0.02132, Safe / Unsafe = 0.75689
I = 7100000, Safe = 0.01614, UnSafe = 0.02132, Safe / Unsafe = 0.75703
I = 7200000, Safe = 0.01614, UnSafe = 0.02133, Safe / Unsafe = 0.75692
I = 7300000, Safe = 0.01614, UnSafe = 0.02132, Safe / Unsafe = 0.75713
I = 7400000, Safe = 0.01614, UnSafe = 0.02133, Safe / Unsafe = 0.75661
I = 7500000, Safe = 0.01614, UnSafe = 0.02134, Safe / Unsafe = 0.75615
I = 7600000, Safe = 0.01614, UnSafe = 0.02135, Safe / Unsafe = 0.75602
I = 7700000, Safe = 0.01613, UnSafe = 0.02135, Safe / Unsafe = 0.75548
I = 7800000, Safe = 0.01613, UnSafe = 0.02135, Safe / Unsafe = 0.75542
I = 7900000, Safe = 0.01614, UnSafe = 0.02136, Safe / Unsafe = 0.75555
I = 8000000, Safe = 0.01614, UnSafe = 0.02136, Safe / Unsafe = 0.75571
I = 8100000, Safe = 0.01614, UnSafe = 0.02135, Safe / Unsafe = 0.75597
I = 8200000, Safe = 0.01614, UnSafe = 0.02135, Safe / Unsafe = 0.75616
I = 8300000, Safe = 0.01615, UnSafe = 0.02134, Safe / Unsafe = 0.75660
I = 8400000, Safe = 0.01615, UnSafe = 0.02133, Safe / Unsafe = 0.75694
I = 8500000, Safe = 0.01615, UnSafe = 0.02134, Safe / Unsafe = 0.75667
I = 8600000, Safe = 0.01615, UnSafe = 0.02134, Safe / Unsafe = 0.75670
I = 8700000, Safe = 0.01614, UnSafe = 0.02134, Safe / Unsafe = 0.75671
I = 8800000, Safe = 0.01614, UnSafe = 0.02134, Safe / Unsafe = 0.75634
I = 8900000, Safe = 0.01615, UnSafe = 0.02135, Safe / Unsafe = 0.75641
I = 9000000, Safe = 0.01615, UnSafe = 0.02133, Safe / Unsafe = 0.75716
I = 9100000, Safe = 0.01616, UnSafe = 0.02133, Safe / Unsafe = 0.75749
I = 9200000, Safe = 0.01617, UnSafe = 0.02134, Safe / Unsafe = 0.75764
I = 9300000, Safe = 0.01617, UnSafe = 0.02133, Safe / Unsafe = 0.75774
I = 9400000, Safe = 0.01617, UnSafe = 0.02133, Safe / Unsafe = 0.75830
I = 9500000, Safe = 0.01617, UnSafe = 0.02134, Safe / Unsafe = 0.75791
I = 9600000, Safe = 0.01617, UnSafe = 0.02134, Safe / Unsafe = 0.75807
I = 9700000, Safe = 0.01617, UnSafe = 0.02133, Safe / Unsafe = 0.75837
I = 9800000, Safe = 0.01617, UnSafe = 0.02132, Safe / Unsafe = 0.75824
I = 9900000, Safe = 0.01617, UnSafe = 0.02133, Safe / Unsafe = 0.75833
I = 10000000, Safe = 0.01617, UnSafe = 0.02133, Safe / Unsafe = 0.75809
Result: Safe = 0.01617, UnSafe = 0.02133, Safe / Unsafe = 0.75809
I = 100000, Safe = 0.01630, UnSafe = 0.02201, Safe / Unsafe = 0.74057
I = 200000, Safe = 0.01655, UnSafe = 0.02177, Safe / Unsafe = 0.76045
I = 300000, Safe = 0.01636, UnSafe = 0.02156, Safe / Unsafe = 0.75866
I = 400000, Safe = 0.01619, UnSafe = 0.02157, Safe / Unsafe = 0.75064
I = 500000, Safe = 0.01630, UnSafe = 0.02163, Safe / Unsafe = 0.75351
I = 600000, Safe = 0.01632, UnSafe = 0.02145, Safe / Unsafe = 0.76080
I = 700000, Safe = 0.01629, UnSafe = 0.02143, Safe / Unsafe = 0.76043
I = 800000, Safe = 0.01633, UnSafe = 0.02142, Safe / Unsafe = 0.76274
I = 900000, Safe = 0.01629, UnSafe = 0.02148, Safe / Unsafe = 0.75827
I = 1000000, Safe = 0.01636, UnSafe = 0.02145, Safe / Unsafe = 0.76252
I = 1100000, Safe = 0.01638, UnSafe = 0.02139, Safe / Unsafe = 0.76581
I = 1200000, Safe = 0.01632, UnSafe = 0.02142, Safe / Unsafe = 0.76180
I = 1300000, Safe = 0.01623, UnSafe = 0.02148, Safe / Unsafe = 0.75546
I = 1400000, Safe = 0.01621, UnSafe = 0.02145, Safe / Unsafe = 0.75577
I = 1500000, Safe = 0.01619, UnSafe = 0.02146, Safe / Unsafe = 0.75428
I = 1600000, Safe = 0.01618, UnSafe = 0.02147, Safe / Unsafe = 0.75370
I = 1700000, Safe = 0.01618, UnSafe = 0.02147, Safe / Unsafe = 0.75373
I = 1800000, Safe = 0.01619, UnSafe = 0.02144, Safe / Unsafe = 0.75512
I = 1900000, Safe = 0.01617, UnSafe = 0.02142, Safe / Unsafe = 0.75494
I = 2000000, Safe = 0.01616, UnSafe = 0.02143, Safe / Unsafe = 0.75401
I = 2100000, Safe = 0.01618, UnSafe = 0.02140, Safe / Unsafe = 0.75612
I = 2200000, Safe = 0.01620, UnSafe = 0.02140, Safe / Unsafe = 0.75711
I = 2300000, Safe = 0.01620, UnSafe = 0.02140, Safe / Unsafe = 0.75688
I = 2400000, Safe = 0.01623, UnSafe = 0.02134, Safe / Unsafe = 0.76036
I = 2500000, Safe = 0.01622, UnSafe = 0.02133, Safe / Unsafe = 0.76032
I = 2600000, Safe = 0.01620, UnSafe = 0.02134, Safe / Unsafe = 0.75922
I = 2700000, Safe = 0.01622, UnSafe = 0.02137, Safe / Unsafe = 0.75884
I = 2800000, Safe = 0.01621, UnSafe = 0.02135, Safe / Unsafe = 0.75923
I = 2900000, Safe = 0.01620, UnSafe = 0.02137, Safe / Unsafe = 0.75810
I = 3000000, Safe = 0.01621, UnSafe = 0.02140, Safe / Unsafe = 0.75745
I = 3100000, Safe = 0.01622, UnSafe = 0.02139, Safe / Unsafe = 0.75811
I = 3200000, Safe = 0.01624, UnSafe = 0.02139, Safe / Unsafe = 0.75927
I = 3300000, Safe = 0.01624, UnSafe = 0.02137, Safe / Unsafe = 0.75989
I = 3400000, Safe = 0.01623, UnSafe = 0.02138, Safe / Unsafe = 0.75910
I = 3500000, Safe = 0.01623, UnSafe = 0.02138, Safe / Unsafe = 0.75929
I = 3600000, Safe = 0.01621, UnSafe = 0.02137, Safe / Unsafe = 0.75857
I = 3700000, Safe = 0.01623, UnSafe = 0.02137, Safe / Unsafe = 0.75922
I = 3800000, Safe = 0.01622, UnSafe = 0.02139, Safe / Unsafe = 0.75810
I = 3900000, Safe = 0.01621, UnSafe = 0.02140, Safe / Unsafe = 0.75783
I = 4000000, Safe = 0.01621, UnSafe = 0.02139, Safe / Unsafe = 0.75789
I = 4100000, Safe = 0.01620, UnSafe = 0.02139, Safe / Unsafe = 0.75707
I = 4200000, Safe = 0.01619, UnSafe = 0.02141, Safe / Unsafe = 0.75625
I = 4300000, Safe = 0.01620, UnSafe = 0.02141, Safe / Unsafe = 0.75638
I = 4400000, Safe = 0.01620, UnSafe = 0.02140, Safe / Unsafe = 0.75679
I = 4500000, Safe = 0.01620, UnSafe = 0.02140, Safe / Unsafe = 0.75704
I = 4600000, Safe = 0.01618, UnSafe = 0.02139, Safe / Unsafe = 0.75620
I = 4700000, Safe = 0.01617, UnSafe = 0.02138, Safe / Unsafe = 0.75608
I = 4800000, Safe = 0.01617, UnSafe = 0.02138, Safe / Unsafe = 0.75652
I = 4900000, Safe = 0.01618, UnSafe = 0.02139, Safe / Unsafe = 0.75638
I = 5000000, Safe = 0.01616, UnSafe = 0.02139, Safe / Unsafe = 0.75572
I = 5100000, Safe = 0.01616, UnSafe = 0.02140, Safe / Unsafe = 0.75500
I = 5200000, Safe = 0.01616, UnSafe = 0.02140, Safe / Unsafe = 0.75522
I = 5300000, Safe = 0.01617, UnSafe = 0.02140, Safe / Unsafe = 0.75563
I = 5400000, Safe = 0.01616, UnSafe = 0.02140, Safe / Unsafe = 0.75520
I = 5500000, Safe = 0.01616, UnSafe = 0.02140, Safe / Unsafe = 0.75503
I = 5600000, Safe = 0.01616, UnSafe = 0.02140, Safe / Unsafe = 0.75513
I = 5700000, Safe = 0.01614, UnSafe = 0.02140, Safe / Unsafe = 0.75413
I = 5800000, Safe = 0.01614, UnSafe = 0.02139, Safe / Unsafe = 0.75417
I = 5900000, Safe = 0.01613, UnSafe = 0.02139, Safe / Unsafe = 0.75396
I = 6000000, Safe = 0.01613, UnSafe = 0.02139, Safe / Unsafe = 0.75417
I = 6100000, Safe = 0.01613, UnSafe = 0.02140, Safe / Unsafe = 0.75363
I = 6200000, Safe = 0.01613, UnSafe = 0.02140, Safe / Unsafe = 0.75378
I = 6300000, Safe = 0.01613, UnSafe = 0.02139, Safe / Unsafe = 0.75412
I = 6400000, Safe = 0.01614, UnSafe = 0.02140, Safe / Unsafe = 0.75430
I = 6500000, Safe = 0.01613, UnSafe = 0.02139, Safe / Unsafe = 0.75394
I = 6600000, Safe = 0.01613, UnSafe = 0.02140, Safe / Unsafe = 0.75369
I = 6700000, Safe = 0.01613, UnSafe = 0.02139, Safe / Unsafe = 0.75400
I = 6800000, Safe = 0.01613, UnSafe = 0.02139, Safe / Unsafe = 0.75407
I = 6900000, Safe = 0.01613, UnSafe = 0.02139, Safe / Unsafe = 0.75429
I = 7000000, Safe = 0.01613, UnSafe = 0.02139, Safe / Unsafe = 0.75431
I = 7100000, Safe = 0.01613, UnSafe = 0.02138, Safe / Unsafe = 0.75438
I = 7200000, Safe = 0.01613, UnSafe = 0.02138, Safe / Unsafe = 0.75405
I = 7300000, Safe = 0.01613, UnSafe = 0.02138, Safe / Unsafe = 0.75417
I = 7400000, Safe = 0.01612, UnSafe = 0.02139, Safe / Unsafe = 0.75361
I = 7500000, Safe = 0.01612, UnSafe = 0.02139, Safe / Unsafe = 0.75374
I = 7600000, Safe = 0.01612, UnSafe = 0.02140, Safe / Unsafe = 0.75359
I = 7700000, Safe = 0.01613, UnSafe = 0.02140, Safe / Unsafe = 0.75363
I = 7800000, Safe = 0.01613, UnSafe = 0.02140, Safe / Unsafe = 0.75360
I = 7900000, Safe = 0.01612, UnSafe = 0.02140, Safe / Unsafe = 0.75322
I = 8000000, Safe = 0.01612, UnSafe = 0.02140, Safe / Unsafe = 0.75323
I = 8100000, Safe = 0.01612, UnSafe = 0.02140, Safe / Unsafe = 0.75333
I = 8200000, Safe = 0.01612, UnSafe = 0.02138, Safe / Unsafe = 0.75386
I = 8300000, Safe = 0.01613, UnSafe = 0.02138, Safe / Unsafe = 0.75418
I = 8400000, Safe = 0.01613, UnSafe = 0.02139, Safe / Unsafe = 0.75424
I = 8500000, Safe = 0.01613, UnSafe = 0.02138, Safe / Unsafe = 0.75465
I = 8600000, Safe = 0.01613, UnSafe = 0.02138, Safe / Unsafe = 0.75440
I = 8700000, Safe = 0.01613, UnSafe = 0.02139, Safe / Unsafe = 0.75399
I = 8800000, Safe = 0.01613, UnSafe = 0.02138, Safe / Unsafe = 0.75417
I = 8900000, Safe = 0.01613, UnSafe = 0.02138, Safe / Unsafe = 0.75429
I = 9000000, Safe = 0.01613, UnSafe = 0.02138, Safe / Unsafe = 0.75441
I = 9100000, Safe = 0.01614, UnSafe = 0.02138, Safe / Unsafe = 0.75477
I = 9200000, Safe = 0.01613, UnSafe = 0.02139, Safe / Unsafe = 0.75437
I = 9300000, Safe = 0.01614, UnSafe = 0.02139, Safe / Unsafe = 0.75449
I = 9400000, Safe = 0.01613, UnSafe = 0.02139, Safe / Unsafe = 0.75404
I = 9500000, Safe = 0.01613, UnSafe = 0.02139, Safe / Unsafe = 0.75400
I = 9600000, Safe = 0.01612, UnSafe = 0.02138, Safe / Unsafe = 0.75409
I = 9700000, Safe = 0.01612, UnSafe = 0.02139, Safe / Unsafe = 0.75380
I = 9800000, Safe = 0.01613, UnSafe = 0.02138, Safe / Unsafe = 0.75417
I = 9900000, Safe = 0.01613, UnSafe = 0.02138, Safe / Unsafe = 0.75448
I = 10000000, Safe = 0.01613, UnSafe = 0.02137, Safe / Unsafe = 0.75482
Result: Safe = 0.01613, UnSafe = 0.02137, Safe / Unsafe = 0.75482
I = 100000, Safe = 0.01652, UnSafe = 0.02136, Safe / Unsafe = 0.77341
I = 200000, Safe = 0.01634, UnSafe = 0.02148, Safe / Unsafe = 0.76053
I = 300000, Safe = 0.01599, UnSafe = 0.02145, Safe / Unsafe = 0.74530
I = 400000, Safe = 0.01604, UnSafe = 0.02137, Safe / Unsafe = 0.75029
I = 500000, Safe = 0.01607, UnSafe = 0.02133, Safe / Unsafe = 0.75359
I = 600000, Safe = 0.01620, UnSafe = 0.02132, Safe / Unsafe = 0.75959
I = 700000, Safe = 0.01618, UnSafe = 0.02129, Safe / Unsafe = 0.76027
I = 800000, Safe = 0.01620, UnSafe = 0.02131, Safe / Unsafe = 0.76044
I = 900000, Safe = 0.01620, UnSafe = 0.02137, Safe / Unsafe = 0.75807
I = 1000000, Safe = 0.01622, UnSafe = 0.02139, Safe / Unsafe = 0.75836
I = 1100000, Safe = 0.01621, UnSafe = 0.02136, Safe / Unsafe = 0.75915
I = 1200000, Safe = 0.01620, UnSafe = 0.02133, Safe / Unsafe = 0.75976
I = 1300000, Safe = 0.01623, UnSafe = 0.02133, Safe / Unsafe = 0.76087
