№   ампл.т. ампл.э. фаза.т. фаза.э.
166   0.113 0.159    0.627 0.444
167   0.120 0.165    0.650 0.471
168   0.127 0.172    0.672 0.499
169   0.135 0.178    0.694 0.526
170   0.143 0.185    0.716 0.554
171   0.151 0.192    0.737 0.581
172   0.160 0.199    0.758 0.609
173   0.169 0.206    0.779 0.636
174   0.178 0.214    0.798 0.663
175   0.187 0.222    0.818 0.689
176   0.196 0.229    0.836 0.715
177   0.206 0.237    0.854 0.741
178   0.216 0.245    0.871 0.766
179   0.226 0.253    0.887 0.790
180   0.236 0.262    0.903 0.813
181   0.246 0.270    0.917 0.835
182   0.257 0.279    0.931 0.857
183   0.267 0.287    0.943 0.877
184   0.278 0.296    0.955 0.896
185   0.289 0.305    0.965 0.913
186   0.300 0.314    0.974 0.929
187   0.311 0.323    0.982 0.944
188   0.322 0.333    0.988 0.957
189   0.334 0.342    0.993 0.969
190   0.345 0.351    0.997 0.979
191   0.356 0.361    0.999 0.987
192   0.368 0.371    1.000 0.993
193   0.379 0.380    0.999 0.997
194   0.391 0.390    0.997 1.000
195   0.402 0.400    0.993 1.000
196   0.414 0.409    0.987 0.998
197   0.426 0.419    0.980 0.994
198   0.437 0.429    0.971 0.989
199   0.449 0.439    0.960 0.981
200   0.460 0.449    0.947 0.970
201   0.472 0.459    0.933 0.958
202   0.483 0.469    0.917 0.944
203   0.494 0.479    0.899 0.927
204   0.505 0.489    0.879 0.908
205   0.517 0.499    0.857 0.887
206   0.528 0.509    0.834 0.864
207   0.539 0.519    0.808 0.838
208   0.550 0.529    0.781 0.811
209   0.560 0.539    0.752 0.781
210   0.571 0.549    0.721 0.750
211   0.581 0.559    0.689 0.716
212   0.592 0.569    0.654 0.681
213   0.602 0.579    0.618 0.644
214   0.612 0.588    0.581 0.604
215   0.622 0.598    0.542 0.564
216   0.632 0.608    0.501 0.521
217   0.642 0.617    0.459 0.477
218   0.651 0.627    0.416 0.432
219   0.661 0.636    0.371 0.385
220   0.670 0.646    0.325 0.338
221   0.679 0.655    0.278 0.289
222   0.688 0.664    0.230 0.239
223   0.697 0.673    0.181 0.188
224   0.706 0.682    0.132 0.136
225   0.714 0.691    0.081 0.084
226   0.722 0.700    0.030 0.031
227   0.731 0.708   -0.021 0.022
228   0.738 0.717   -0.072 0.075
229   0.746 0.725   -0.124 0.128
230   0.754 0.733   -0.176 0.181
231   0.761 0.742   -0.227 0.233
232   0.769 0.750   -0.279 0.286
233   0.776 0.758   -0.329 0.337
234   0.783 0.765   -0.379 0.388
235   0.790 0.773   -0.429 0.438
236   0.796 0.780   -0.477 0.487
237   0.803 0.788   -0.524 0.534
238   0.809 0.795   -0.570 0.580
239   0.815 0.802   -0.614 0.624
240   0.821 0.809   -0.657 0.667
241   0.827 0.816   -0.698 0.708
242   0.833 0.822   -0.737 0.747
243   0.838 0.829   -0.774 0.783
244   0.844 0.835   -0.809 0.817
245   0.849 0.841   -0.841 0.849
246   0.854 0.847   -0.871 0.878
247   0.859 0.853   -0.897 0.904
248   0.864 0.859   -0.921 0.927
249   0.869 0.865   -0.943 0.947
250   0.873 0.870   -0.960 0.964
251   0.878 0.875   -0.975 0.978
252   0.882 0.880   -0.987 0.989
253   0.886 0.885   -0.995 0.996
254   0.890 0.890   -0.999 0.999
255   0.894 0.895   -1.000 1.000
256   0.898 0.899   -0.997 0.996
257   0.902 0.903   -0.991 0.989
258   0.905 0.908   -0.981 0.978
259   0.909 0.912   -0.967 0.964
260   0.912 0.916   -0.949 0.946
261   0.916 0.919   -0.928 0.924
262   0.919 0.923   -0.903 0.899
263   0.922 0.926   -0.875 0.871
264   0.925 0.930   -0.843 0.838
265   0.928 0.933   -0.807 0.803
266   0.930 0.936   -0.768 0.764
267   0.933 0.939   -0.726 0.722
268   0.936 0.942   -0.681 0.677
269   0.938 0.944   -0.632 0.628
270   0.941 0.947   -0.581 0.578
271   0.943 0.949   -0.528 0.524
272   0.945 0.952   -0.471 0.468
273   0.947 0.954   -0.413 0.410
274   0.950 0.956   -0.353 0.350
275   0.952 0.958   -0.290 0.288
276   0.954 0.960   -0.227 0.225
277   0.955 0.962   -0.162 0.160
278   0.957 0.963   -0.096 0.095
279   0.959 0.965   -0.029 0.029
280   0.961 0.967    0.038 0.038
281   0.962 0.968    0.105 0.105
282   0.964 0.969    0.172 0.171
283   0.965 0.971    0.239 0.237
284   0.967 0.972    0.304 0.303
285   0.968 0.973    0.369 0.367
286   0.970 0.974    0.432 0.430
287   0.971 0.975    0.493 0.491
288   0.972 0.976    0.552 0.549
289   0.973 0.977    0.608 0.606
290   0.975 0.978    0.662 0.660
291   0.976 0.979    0.713 0.711
292   0.977 0.979    0.760 0.758
293   0.978 0.980    0.804 0.802
294   0.979 0.981    0.844 0.842
295   0.980 0.981    0.880 0.878
296   0.981 0.982    0.912 0.910
297   0.981 0.983    0.939 0.937
298   0.982 0.983    0.961 0.960
299   0.983 0.984    0.978 0.978
300   0.984 0.984    0.991 0.990
301   0.985 0.985    0.998 0.998
302   0.985 0.985    1.000 1.000
303   0.986 0.986    0.997 0.997
304   0.987 0.986    0.988 0.989
305   0.987 0.987    0.974 0.975
306   0.988 0.987    0.955 0.956
307   0.988 0.987    0.930 0.931
308   0.989 0.988    0.901 0.902
309   0.990 0.988    0.866 0.867
310   0.990 0.989    0.826 0.827
311   0.990 0.989    0.782 0.783
312   0.991 0.989    0.733 0.734
313   0.991 0.990    0.679 0.681
314   0.992 0.990    0.622 0.623
315   0.992 0.990    0.561 0.562
316   0.993 0.991    0.497 0.498
317   0.993 0.991    0.429 0.430
318   0.993 0.991    0.359 0.360
319   0.994 0.992    0.286 0.287
320   0.994 0.992    0.212 0.212
321   0.994 0.993    0.136 0.136
322   0.995 0.993    0.059 0.059
323   0.995 0.993   -0.018 0.018
324   0.995 0.994   -0.096 0.096
325   0.995 0.994   -0.173 0.173
326   0.996 0.994   -0.249 0.250
327   0.996 0.994   -0.325 0.325
328   0.996 0.995   -0.398 0.398
329   0.996 0.995   -0.469 0.469
330   0.996 0.995   -0.537 0.538
331   0.997 0.996   -0.602 0.603
332   0.997 0.996   -0.664 0.664
333   0.997 0.996   -0.721 0.722
334   0.997 0.996   -0.774 0.775
335   0.997 0.997   -0.822 0.823
336   0.997 0.997   -0.865 0.866
337   0.998 0.997   -0.903 0.903
338   0.998 0.997   -0.934 0.935
339   0.998 0.998   -0.960 0.960
340   0.998 0.998   -0.980 0.980
341   0.998 0.998   -0.993 0.993
342   0.998 0.998   -0.999 0.999
343   0.998 0.998   -0.999 0.999
344   0.998 0.999   -0.992 0.992
345   0.999 0.999   -0.979 0.979
346   0.999 0.999   -0.959 0.959
347   0.999 0.999   -0.932 0.932
348   0.999 0.999   -0.899 0.899
349   0.999 0.999   -0.860 0.860
350   0.999 0.999   -0.815 0.814
351   0.999 0.999   -0.764 0.763
352   0.999 0.999   -0.707 0.707
353   0.999 0.999   -0.646 0.645
354   0.999 1.000   -0.580 0.579
355   0.999 1.000   -0.509 0.509
356   0.999 1.000   -0.435 0.435
357   0.999 1.000   -0.358 0.358
358   0.999 1.000   -0.278 0.278
359   0.999 1.000   -0.196 0.195
360   0.999 1.000   -0.112 0.112
361   0.999 1.000   -0.027 0.027
362   0.999 1.000    0.058 0.058
363   1.000 1.000    0.143 0.143
364   1.000 1.000    0.227 0.227
365   1.000 1.000    0.309 0.309
366   1.000 1.000    0.390 0.390
367   1.000 1.000    0.467 0.467
368   1.000 1.000    0.542 0.542
369   1.000 1.000    0.612 0.612
370   1.000 1.000    0.678 0.678
371   1.000 1.000    0.739 0.739
372   1.000 1.000    0.795 0.795
373   1.000 1.000    0.845 0.845
374   1.000 1.000    0.888 0.888
375   1.000 1.000    0.925 0.925
376   1.000 1.000    0.954 0.954
377   1.000 1.000    0.977 0.977
378   1.000 1.000    0.992 0.992
379   1.000 1.000    0.999 0.999
380   1.000 1.000    0.999 0.999
381   1.000 1.000    0.991 0.991
382   1.000 1.000    0.975 0.975
383   1.000 1.000    0.951 0.951
384   1.000 1.000    0.920 0.920
385   1.000 1.000    0.882 0.882
386   1.000 1.000    0.837 0.836
387   1.000 1.000    0.784 0.784
388   1.000 1.000    0.726 0.726
389   1.000 1.000    0.662 0.662
390   1.000 1.000    0.592 0.592
391   1.000 1.000    0.517 0.517
392   1.000 1.000    0.439 0.439
393   1.000 1.000    0.356 0.356
394   1.000 1.000    0.271 0.271
395   1.000 1.000    0.183 0.183
396   1.000 1.000    0.093 0.093
397   1.000 1.000    0.003 0.003
398   1.000 1.000   -0.088 0.088
399   1.000 1.000   -0.178 0.178
400   1.000 1.000   -0.266 0.266
401   1.000 1.000   -0.353 0.353
402   1.000 1.000   -0.436 0.436
403   1.000 1.000   -0.517 0.517
404   1.000 1.000   -0.593 0.592
405   1.000 1.000   -0.664 0.664
406   1.000 1.000   -0.729 0.729
407   1.000 1.000   -0.789 0.789
408   1.000 1.000   -0.842 0.842
409   1.000 1.000   -0.888 0.888
410   1.000 1.000   -0.927 0.927
411   1.000 1.000   -0.957 0.957
412   1.000 1.000   -0.980 0.980
413   1.000 1.000   -0.994 0.994
414   1.000 1.000   -1.000 1.000
415   1.000 1.000   -0.997 0.997
416   1.000 1.000   -0.986 0.986
417   1.000 1.000   -0.966 0.966
418   1.000 1.000   -0.937 0.938
419   1.000 1.000   -0.901 0.901
420   1.000 1.000   -0.857 0.857
421   1.000 1.000   -0.805 0.805
422   1.000 1.000   -0.746 0.746
423   1.000 1.000   -0.680 0.681
424   1.000 1.000   -0.609 0.609
425   1.000 1.000   -0.532 0.532
426   1.000 1.000   -0.450 0.450
427   1.000 1.000   -0.365 0.365
428   1.000 1.000   -0.275 0.276
429   1.000 1.000   -0.184 0.184
430   1.000 1.000   -0.091 0.091
431   1.000 1.000    0.004 0.004
432   1.000 1.000    0.098 0.098
433   1.000 1.000    0.192 0.192
434   1.000 1.000    0.283 0.283
435   1.000 1.000    0.373 0.373
436   1.000 1.000    0.459 0.459
437   1.000 1.000    0.541 0.541
438   1.000 1.000    0.618 0.619
439   1.000 1.000    0.690 0.690
440   1.000 1.000    0.756 0.756
441   1.000 1.000    0.815 0.815
442   1.000 1.000    0.866 0.866
443   1.000 1.000    0.910 0.910
444   1.000 1.000    0.945 0.945
445   1.000 1.000    0.972 0.972
446   1.000 1.000    0.990 0.990
447   1.000 1.000    0.999 0.999
448   1.000 1.000    0.999 0.999
449   1.000 1.000    0.989 0.989
450   1.000 1.000    0.971 0.971
451   1.000 1.000    0.943 0.943
452   1.000 1.000    0.907 0.907
453   1.000 1.000    0.863 0.863
454   1.000 1.000    0.810 0.810
455   1.000 1.000    0.750 0.750
456   1.000 1.000    0.683 0.683
457   1.000 1.000    0.609 0.609
458   1.000 1.000    0.530 0.530
459   1.000 1.000    0.446 0.446
460   1.000 1.000    0.358 0.358
461   1.000 1.000    0.266 0.266
462   1.000 1.000    0.172 0.171
463   1.000 1.000    0.076 0.076
464   1.000 1.000   -0.021 0.021
465   1.000 1.000   -0.118 0.118
466   1.000 1.000   -0.213 0.213
467   1.000 1.000   -0.307 0.307
468   1.000 1.000   -0.398 0.398
469   1.000 1.000   -0.485 0.485
470   1.000 1.000   -0.567 0.567
471   1.000 1.000   -0.645 0.644
472   1.000 1.000   -0.716 0.716
473   1.000 1.000   -0.780 0.780
474   1.000 1.000   -0.837 0.837
475   1.000 1.000   -0.886 0.886
476   1.000 1.000   -0.927 0.927
477   1.000 1.000   -0.959 0.959
478   1.000 1.000   -0.982 0.982
479   1.000 1.000   -0.996 0.996
480   1.000 1.000   -1.000 1.000
481   1.000 1.000   -0.995 0.995
482   1.000 1.000   -0.980 0.980
483   1.000 1.000   -0.956 0.956
484   1.000 1.000   -0.922 0.922
485   1.000 1.000   -0.880 0.880
486   1.000 1.000   -0.830 0.830
487   1.000 1.000   -0.771 0.771
488   1.000 1.000   -0.705 0.705
489   1.000 1.000   -0.633 0.633
490   1.000 1.000   -0.554 0.554
491   1.000 1.000   -0.470 0.470
492   1.000 1.000   -0.381 0.381
493   1.000 1.000   -0.289 0.289
494   1.000 1.000   -0.194 0.194
495   1.000 1.000   -0.097 0.097
496   1.000 1.000    0.001 0.001
497   1.000 1.000    0.099 0.099
498   1.000 1.000    0.196 0.196
499   1.000 1.000    0.291 0.291
500   1.000 1.000    0.383 0.383
501   1.000 1.000    0.472 0.472
502   1.000 1.000    0.556 0.556
503   1.000 1.000    0.635 0.635
504   1.000 1.000    0.707 0.707
505   1.000 1.000    0.773 0.773
506   1.000 1.000    0.831 0.832
507   1.000 1.000    0.882 0.882
508   1.000 1.000    0.924 0.924
509   1.000 1.000    0.957 0.957
510   1.000 1.000    0.981 0.981
511   1.000 1.000    0.995 0.995
512   1.000 1.000    1.000 1.000
513   1.000 1.000    0.995 0.995
514   1.000 1.000    0.981 0.981
515   1.000 1.000    0.957 0.957
516   1.000 1.000    0.924 0.924
517   1.000 1.000    0.882 0.882
518   1.000 1.000    0.831 0.832
519   1.000 1.000    0.773 0.773
520   1.000 1.000    0.707 0.707
521   1.000 1.000    0.635 0.635
522   1.000 1.000    0.556 0.556
523   1.000 1.000    0.472 0.472
524   1.000 1.000    0.383 0.383
525   1.000 1.000    0.291 0.291
526   1.000 1.000    0.196 0.196
527   1.000 1.000    0.099 0.099
528   1.000 1.000    0.001 0.001
529   1.000 1.000   -0.097 0.097
530   1.000 1.000   -0.194 0.194
531   1.000 1.000   -0.289 0.289
532   1.000 1.000   -0.381 0.381
533   1.000 1.000   -0.470 0.470
534   1.000 1.000   -0.554 0.554
535   1.000 1.000   -0.633 0.633
536   1.000 1.000   -0.705 0.705
537   1.000 1.000   -0.771 0.771
538   1.000 1.000   -0.830 0.830
539   1.000 1.000   -0.880 0.880
540   1.000 1.000   -0.922 0.922
541   1.000 1.000   -0.956 0.956
542   1.000 1.000   -0.980 0.980
543   1.000 1.000   -0.995 0.995
544   1.000 1.000   -1.000 1.000
545   1.000 1.000   -0.996 0.996
546   1.000 1.000   -0.982 0.982
547   1.000 1.000   -0.959 0.959
548   1.000 1.000   -0.927 0.927
549   1.000 1.000   -0.886 0.886
550   1.000 1.000   -0.837 0.837
551   1.000 1.000   -0.780 0.780
552   1.000 1.000   -0.716 0.716
553   1.000 1.000   -0.645 0.644
554   1.000 1.000   -0.567 0.567
555   1.000 1.000   -0.485 0.485
556   1.000 1.000   -0.398 0.398
557   1.000 1.000   -0.307 0.307
558   1.000 1.000   -0.213 0.213
559   1.000 1.000   -0.118 0.118
560   1.000 1.000   -0.021 0.021
561   1.000 1.000    0.076 0.076
562   1.000 1.000    0.172 0.171
563   1.000 1.000    0.266 0.266
564   1.000 1.000    0.358 0.358
565   1.000 1.000    0.446 0.446
566   1.000 1.000    0.530 0.530
567   1.000 1.000    0.609 0.609
568   1.000 1.000    0.683 0.683
569   1.000 1.000    0.750 0.750
570   1.000 1.000    0.810 0.810
571   1.000 1.000    0.863 0.863
572   1.000 1.000    0.907 0.907
573   1.000 1.000    0.943 0.943
574   1.000 1.000    0.971 0.971
575   1.000 1.000    0.989 0.989
576   1.000 1.000    0.999 0.999
577   1.000 1.000    0.999 0.999
578   1.000 1.000    0.990 0.990
579   1.000 1.000    0.972 0.972
580   1.000 1.000    0.945 0.945
581   1.000 1.000    0.910 0.910
582   1.000 1.000    0.866 0.866
583   1.000 1.000    0.815 0.815
584   1.000 1.000    0.756 0.756
585   1.000 1.000    0.690 0.690
586   1.000 1.000    0.618 0.619
587   1.000 1.000    0.541 0.541
588   1.000 1.000    0.459 0.459
589   1.000 1.000    0.373 0.373
590   1.000 1.000    0.283 0.283
591   1.000 1.000    0.192 0.192
592   1.000 1.000    0.098 0.098
593   1.000 1.000    0.004 0.004
594   1.000 1.000   -0.091 0.091
595   1.000 1.000   -0.184 0.184
596   1.000 1.000   -0.275 0.276
597   1.000 1.000   -0.365 0.365
598   1.000 1.000   -0.450 0.450
599   1.000 1.000   -0.532 0.532
600   1.000 1.000   -0.609 0.609
601   1.000 1.000   -0.680 0.681
602   1.000 1.000   -0.746 0.746
603   1.000 1.000   -0.805 0.805
604   1.000 1.000   -0.857 0.857
605   1.000 1.000   -0.901 0.901
606   1.000 1.000   -0.937 0.938
607   1.000 1.000   -0.966 0.966
608   1.000 1.000   -0.986 0.986
609   1.000 1.000   -0.997 0.997
610   1.000 1.000   -1.000 1.000
611   1.000 1.000   -0.994 0.994
612   1.000 1.000   -0.980 0.980
613   1.000 1.000   -0.957 0.957
614   1.000 1.000   -0.927 0.927
615   1.000 1.000   -0.888 0.888
616   1.000 1.000   -0.842 0.842
617   1.000 1.000   -0.789 0.789
618   1.000 1.000   -0.729 0.729
619   1.000 1.000   -0.664 0.664
620   1.000 1.000   -0.593 0.592
621   1.000 1.000   -0.517 0.517
622   1.000 1.000   -0.436 0.436
623   1.000 1.000   -0.353 0.353
624   1.000 1.000   -0.266 0.266
625   1.000 1.000   -0.178 0.178
626   1.000 1.000   -0.088 0.088
627   1.000 1.000    0.003 0.003
628   1.000 1.000    0.093 0.093
629   1.000 1.000    0.183 0.183
630   1.000 1.000    0.271 0.271
631   1.000 1.000    0.356 0.356
632   1.000 1.000    0.439 0.439
633   1.000 1.000    0.517 0.517
634   1.000 1.000    0.592 0.592
635   1.000 1.000    0.662 0.662
636   1.000 1.000    0.726 0.726
637   1.000 1.000    0.784 0.784
638   1.000 1.000    0.837 0.836
