№   ампл.т. ампл.э. фаза.т. фаза.э.
747   0.955 0.962   -0.162 0.160
748   0.954 0.960   -0.227 0.225
749   0.952 0.958   -0.290 0.288
750   0.950 0.956   -0.353 0.350
751   0.947 0.954   -0.413 0.410
752   0.945 0.952   -0.471 0.468
753   0.943 0.949   -0.528 0.524
754   0.941 0.947   -0.581 0.578
755   0.938 0.944   -0.632 0.628
756   0.936 0.942   -0.681 0.677
757   0.933 0.939   -0.726 0.722
758   0.930 0.936   -0.768 0.764
759   0.928 0.933   -0.807 0.803
760   0.925 0.930   -0.843 0.838
761   0.922 0.926   -0.875 0.871
762   0.919 0.923   -0.903 0.899
763   0.916 0.919   -0.928 0.924
764   0.912 0.916   -0.949 0.946
765   0.909 0.912   -0.967 0.964
766   0.905 0.908   -0.981 0.978
767   0.902 0.903   -0.991 0.989
768   0.898 0.899   -0.997 0.996
769   0.894 0.895   -1.000 1.000
770   0.890 0.890   -0.999 0.999
771   0.886 0.885   -0.995 0.996
772   0.882 0.880   -0.987 0.989
773   0.878 0.875   -0.975 0.978
774   0.873 0.870   -0.960 0.964
775   0.869 0.865   -0.943 0.947
776   0.864 0.859   -0.921 0.927
777   0.859 0.853   -0.897 0.904
778   0.854 0.847   -0.871 0.878
779   0.849 0.841   -0.841 0.849
780   0.844 0.835   -0.809 0.817
781   0.838 0.829   -0.774 0.783
782   0.833 0.822   -0.737 0.747
783   0.827 0.816   -0.698 0.708
784   0.821 0.809   -0.657 0.667
785   0.815 0.802   -0.614 0.624
786   0.809 0.795   -0.570 0.580
787   0.803 0.788   -0.524 0.534
788   0.796 0.780   -0.477 0.487
789   0.790 0.773   -0.429 0.438
790   0.783 0.765   -0.379 0.388
791   0.776 0.758   -0.329 0.337
792   0.769 0.750   -0.279 0.286
793   0.761 0.742   -0.227 0.233
794   0.754 0.733   -0.176 0.181
795   0.746 0.725   -0.124 0.128
796   0.738 0.717   -0.072 0.075
797   0.731 0.708   -0.021 0.022
798   0.722 0.700    0.030 0.031
799   0.714 0.691    0.081 0.084
800   0.706 0.682    0.132 0.136
801   0.697 0.673    0.181 0.188
802   0.688 0.664    0.230 0.239
803   0.679 0.655    0.278 0.289
804   0.670 0.646    0.325 0.338
805   0.661 0.636    0.371 0.385
806   0.651 0.627    0.416 0.432
807   0.642 0.617    0.459 0.477
808   0.632 0.608    0.501 0.521
809   0.622 0.598    0.542 0.564
810   0.612 0.588    0.581 0.604
811   0.602 0.579    0.618 0.644
812   0.592 0.569    0.654 0.681
813   0.581 0.559    0.689 0.716
814   0.571 0.549    0.721 0.750
815   0.560 0.539    0.752 0.781
816   0.550 0.529    0.781 0.811
817   0.539 0.519    0.808 0.838
818   0.528 0.509    0.834 0.864
819   0.517 0.499    0.857 0.887
820   0.505 0.489    0.879 0.908
821   0.494 0.479    0.899 0.927
822   0.483 0.469    0.917 0.944
823   0.472 0.459    0.933 0.958
824   0.460 0.449    0.947 0.970
825   0.449 0.439    0.960 0.981
826   0.437 0.429    0.971 0.989
827   0.426 0.419    0.980 0.994
828   0.414 0.409    0.987 0.998
829   0.402 0.400    0.993 1.000
830   0.391 0.390    0.997 1.000
831   0.379 0.380    0.999 0.997
832   0.368 0.371    1.000 0.993
833   0.356 0.361    0.999 0.987
834   0.345 0.351    0.997 0.979
835   0.334 0.342    0.993 0.969
836   0.322 0.333    0.988 0.957
837   0.311 0.323    0.982 0.944
838   0.300 0.314    0.974 0.929
839   0.289 0.305    0.965 0.913
840   0.278 0.296    0.955 0.896
841   0.267 0.287    0.943 0.877
842   0.257 0.279    0.931 0.857
843   0.246 0.270    0.917 0.835
844   0.236 0.262    0.903 0.813
845   0.226 0.253    0.887 0.790
846   0.216 0.245    0.871 0.766
847   0.206 0.237    0.854 0.741
848   0.196 0.229    0.836 0.715
849   0.187 0.222    0.818 0.689
850   0.178 0.214    0.798 0.663
851   0.169 0.206    0.779 0.636
852   0.160 0.199    0.758 0.609
853   0.151 0.192    0.737 0.581
854   0.143 0.185    0.716 0.554
855   0.135 0.178    0.694 0.526
856   0.127 0.172    0.672 0.499
857   0.120 0.165    0.650 0.471
858   0.113 0.159    0.627 0.444
859   0.106 0.153    0.604 0.418
860   0.099 0.147    0.581 0.391
861   0.092 0.141    0.558 0.365
862   0.086 0.135    0.534 0.340
863   0.080 0.130    0.511 0.316
864   0.075 0.125    0.487 0.292
865   0.069 0.120    0.464 0.269
866   0.064 0.115    0.440 0.246
867   0.059 0.110    0.417 0.225
868   0.055 0.106    0.394 0.204
869   0.050 0.101    0.370 0.184
870   0.046 0.097    0.347 0.166
871   0.043 0.093    0.325 0.148
872   0.039 0.089    0.302 0.131
873   0.035 0.086    0.280 0.116
874   0.032 0.082    0.257 0.101
875   0.029 0.079    0.236 0.088
876   0.027 0.076    0.214 0.075
877   0.024 0.072    0.193 0.064
878   0.022 0.070    0.172 0.054
879   0.020 0.067    0.151 0.044
880   0.017 0.064    0.131 0.036
881   0.016 0.062    0.111 0.028
882   0.014 0.059    0.091 0.021
883   0.012 0.057    0.072 0.016
884   0.011 0.055    0.053 0.011
885   0.010 0.053    0.035 0.006
886   0.009 0.051    0.017 0.003
887   0.008 0.049   -0.000 0.000
888   0.007 0.048   -0.017 0.002
889   0.006 0.046   -0.034 0.004
890   0.005 0.045   -0.050 0.006
891   0.004 0.043   -0.066 0.007
892   0.004 0.042   -0.081 0.007
893   0.003 0.040   -0.096 0.008
894   0.003 0.039   -0.110 0.008
895   0.002 0.038   -0.124 0.008
896   0.002 0.037   -0.138 0.008
897   0.002 0.036   -0.151 0.007
898   0.001 0.035   -0.163 0.007
899   0.001 0.034   -0.175 0.006
900   0.001 0.033   -0.187 0.006
901   0.001 0.032   -0.198 0.005
902   0.001 0.031   -0.209 0.005
903   0.001 0.031   -0.219 0.004
904   0.000 0.030   -0.229 0.004
905   0.000 0.029   -0.238 0.003
906   0.000 0.028   -0.247 0.003
907   0.000 0.028   -0.255 0.003
908   0.000 0.027   -0.263 0.002
909   0.000 0.026   -0.271 0.002
910   0.000 0.026   -0.278 0.002
911   0.000 0.025   -0.284 0.001
912   0.000 0.025   -0.290 0.001
913   0.000 0.024   -0.296 0.001
914   0.000 0.023   -0.301 0.001
915   0.000 0.023   -0.306 0.001
916   0.000 0.022   -0.310 0.000
917   0.000 0.022   -0.314 0.000
918   0.000 0.021   -0.317 0.000
919   0.000 0.021   -0.320 0.000
920   0.000 0.021   -0.323 0.000
921   0.000 0.020   -0.325 0.000
922   0.000 0.020   -0.327 0.000
923   0.000 0.019   -0.328 0.000
924   0.000 0.019   -0.328 0.000
925   0.000 0.019   -0.329 0.000
926   0.000 0.018   -0.329 0.000
927   0.000 0.018   -0.328 0.000
928   0.000 0.017   -0.327 0.000
929   0.000 0.017   -0.325 0.000
930   0.000 0.017   -0.323 0.000
931   0.000 0.016   -0.321 0.000
932   0.000 0.016   -0.318 0.000
933   0.000 0.016   -0.315 0.000
934   0.000 0.015   -0.311 0.000
935   0.000 0.015   -0.307 0.000
936   0.000 0.015   -0.302 0.000
937   0.000 0.014   -0.297 0.000
938   0.000 0.014   -0.291 0.000
939   0.000 0.014   -0.285 0.000
940   0.000 0.014   -0.278 0.000
941   0.000 0.013   -0.271 0.000
942   0.000 0.013   -0.263 0.000
943   0.000 0.013   -0.255 0.000
944   0.000 0.013   -0.246 0.000
945   0.000 0.012   -0.237 0.000
946   0.000 0.012   -0.228 0.000
947   0.000 0.012   -0.217 0.000
948   0.000 0.012   -0.207 0.000
949   0.000 0.011   -0.196 0.000
950   0.000 0.011   -0.184 0.000
951   0.000 0.011   -0.172 0.000
952   0.000 0.011   -0.159 0.000
953   0.000 0.010   -0.146 0.000
954   0.000 0.010   -0.132 0.000
955   0.000 0.010   -0.117 0.000
956   0.000 0.010   -0.103 0.000
957   0.000 0.010   -0.087 0.000
958   0.000 0.009   -0.071 0.000
959   0.000 0.009   -0.055 0.000
960   0.000 0.009   -0.038 0.000
961   0.000 0.009   -0.020 0.000
962   0.000 0.009   -0.002 0.000
963   0.000 0.008    0.016 0.000
964   0.000 0.008    0.036 0.000
965   0.000 0.008    0.055 0.000
966   0.000 0.008    0.075 0.000
967   0.000 0.008    0.096 0.000
968   0.000 0.008    0.117 0.000
969   0.000 0.007    0.138 0.000
970   0.000 0.007    0.160 0.000
971   0.000 0.007    0.183 0.000
972   0.000 0.007    0.206 0.000
973   0.000 0.007    0.229 0.000
974   0.000 0.007    0.252 0.000
975   0.000 0.006    0.276 0.000
976   0.000 0.006    0.301 0.000
977   0.000 0.006    0.325 0.000
978   0.000 0.006    0.350 0.000
979   0.000 0.006    0.376 0.000
980   0.000 0.006    0.401 0.000
981   0.000 0.005    0.426 0.000
982   0.000 0.005    0.452 0.000
983   0.000 0.005    0.478 0.000
984   0.000 0.005    0.504 0.000
985   0.000 0.005    0.530 0.000
986   0.000 0.005    0.556 0.000
987   0.000 0.005    0.581 0.000
988   0.000 0.004    0.607 0.000
989   0.000 0.004    0.633 0.000
990   0.000 0.004    0.658 0.000
991   0.000 0.004    0.683 0.000
992   0.000 0.004    0.707 0.000
993   0.000 0.004    0.731 0.000
994   0.000 0.004    0.755 0.000
995   0.000 0.004    0.778 0.000
996   0.000 0.003    0.800 0.000
997   0.000 0.003    0.822 0.000
998   0.000 0.003    0.842 0.000
999   0.000 0.003    0.862 0.000
1000   0.000 0.003    0.881 0.000
1001   0.000 0.003    0.899 0.000
1002   0.000 0.003    0.916 0.000
1003   0.000 0.003    0.931 0.000
1004   0.000 0.002    0.945 0.000
1005   0.000 0.002    0.958 0.000
1006   0.000 0.002    0.969 0.000
1007   0.000 0.002    0.979 0.000
1008   0.000 0.002    0.987 0.000
1009   0.000 0.002    0.993 0.000
1010   0.000 0.002    0.997 0.000
1011   0.000 0.002    1.000 0.000
1012   0.000 0.001    1.000 0.000
1013   0.000 0.001    0.998 0.000
1014   0.000 0.001    0.994 0.000
1015   0.000 0.001    0.988 0.000
1016   0.000 0.001    0.980 0.000
1017   0.000 0.001    0.969 0.000
1018   0.000 0.001    0.956 0.000
1019   0.000 0.001    0.940 0.000
1020   0.000 0.000    0.922 0.000
1021   0.000 0.000    0.901 0.000
1022   0.000 0.000    0.878 0.000
1023   0.000 0.000    0.852 0.000
