Started
Inited
Graph Inited
Solved 0
Solved 1
Solved 2
x[0] = 179, v[0] = 0
x[150] = 180.91, v[150] = -0.0323909
x[151] = 180.896, v[151] = -0.565821
x[152] = 180.854, v[152] = -1.05957
x[153] = 180.79, v[153] = -1.39935
x[154] = 180.714, v[154] = -1.53082
x[155] = 180.637, v[155] = -1.46803
x[156] = 180.567, v[156] = -1.2724
x[157] = 180.51, v[157] = -1.02206
x[158] = 180.465, v[158] = -0.788635
x[159] = 180.431, v[159] = -0.625904
x[160] = 180.402, v[160] = -0.56514
x[161] = 180.374, v[161] = -0.611892
x[162] = 180.341, v[162] = -0.744388
x[163] = 180.3, v[163] = -0.918482
x[164] = 180.249, v[164] = -1.08247
x[165] = 180.192, v[165] = -1.19731
x[166] = 180.13, v[166] = -1.25129
x[167] = 180.067, v[167] = -1.26067
x[168] = 180.004, v[168] = -1.25717
x[169] = 179.941, v[169] = -1.27079
x[170] = 179.877, v[170] = -1.31576
x[171] = 179.809, v[171] = -1.38325
x[172] = 179.738, v[172] = -1.44154
x[173] = 179.665, v[173] = -1.44486
x[174] = 179.594, v[174] = -1.35142
x[175] = 179.53, v[175] = -1.146
x[176] = 179.479, v[176] = -0.855833
x[177] = 179.444, v[177] = -0.547215
x[178] = 179.424, v[178] = -0.301616
x[179] = 179.414, v[179] = -0.184362
x[180] = 179.406, v[180] = -0.223705
x[181] = 179.392, v[181] = -0.407564
x[182] = 179.365, v[182] = -0.691676
x[183] = 179.322, v[183] = -1.00897
x[184] = 179.264, v[184] = -1.27673
x[185] = 179.195, v[185] = -1.40686
x[186] = 179.123, v[186] = -1.32672
x[187] = 179.062, v[187] = -1.00975
x[188] = 179.022, v[188] = -0.500759
x[189] = 179.012, v[189] = 0.0859488
x[190] = 179.031, v[190] = 0.604303
x[191] = 179.072, v[191] = 0.932504
x[192] = 179.124, v[192] = 1.01458
x[193] = 179.174, v[193] = 0.867283
x[194] = 179.211, v[194] = 0.558898
x[195] = 179.229, v[195] = 0.181293
x[196] = 179.229, v[196] = -0.169579
x[197] = 179.212, v[197] = -0.404721
x[198] = 179.188, v[198] = -0.453777
x[199] = 179.167, v[199] = -0.283468
x[200] = 179.16, v[200] = 0.0829894
x[201] = 179.175, v[201] = 0.561737
x[202] = 179.216, v[202] = 1.03213
x[203] = 179.278, v[203] = 1.38203
x[204] = 179.354, v[204] = 1.54938
x[205] = 179.433, v[205] = 1.53637
x[206] = 179.508, v[206] = 1.39389
x[207] = 179.572, v[207] = 1.19227
x[208] = 179.627, v[208] = 0.99666
x[209] = 179.672, v[209] = 0.853803
x[210] = 179.712, v[210] = 0.787737
x[211] = 179.751, v[211] = 0.799388
x[212] = 179.792, v[212] = 0.868773
x[213] = 179.838, v[213] = 0.961898
x[214] = 179.888, v[214] = 1.04346
x[215] = 179.942, v[215] = 1.09146
x[216] = 179.997, v[216] = 1.10592
x[217] = 180.053, v[217] = 1.10665
x[218] = 180.108, v[218] = 1.12177
x[219] = 180.165, v[219] = 1.17366
x[220] = 180.225, v[220] = 1.26791
x[221] = 180.292, v[221] = 1.38727
x[222] = 180.364, v[222] = 1.49161
x[223] = 180.441, v[223] = 1.52604
x[224] = 180.517, v[224] = 1.43935
x[225] = 180.585, v[225] = 1.20945
x[226] = 180.638, v[226] = 0.863518
x[227] = 180.671, v[227] = 0.477437
x[228] = 180.686, v[228] = 0.149803
x[229] = 180.686, v[229] = -0.0360619
x[230] = 180.682, v[230] = -0.0400392
x[231] = 180.682, v[231] = 0.128878
x[232] = 180.695, v[232] = 0.423184
x[233] = 180.725, v[233] = 0.770674
x[234] = 180.772, v[234] = 1.08425
x[235] = 180.833, v[235] = 1.27135
x[236] = 180.899, v[236] = 1.25173
x[237] = 180.958, v[237] = 0.986118
x[238] = 180.998, v[238] = 0.504198
x[239] = 181.009, v[239] = -0.0901186
x[240] = 180.989, v[240] = -0.649838
x[241] = 180.944, v[241] = -1.04075
x[242] = 180.885, v[242] = -1.18978
x[243] = 180.825, v[243] = -1.09991
x[244] = 180.775, v[244] = -0.832386
x[245] = 180.742, v[245] = -0.476651
x[246] = 180.728, v[246] = -0.126911
x[247] = 180.729, v[247] = 0.13061
x[248] = 180.741, v[248] = 0.227213
x[249] = 180.752, v[249] = 0.125769
x[250] = 180.753, v[250] = -0.162626
x[251] = 180.736, v[251] = -0.572061
x[252] = 180.696, v[252] = -0.998368
x[253] = 180.636, v[253] = -1.33722
x[254] = 180.563, v[254] = -1.52379
x[255] = 180.484, v[255] = -1.55088
x[256] = 180.407, v[256] = -1.45875
x[257] = 180.338, v[257] = -1.3089
x[258] = 180.277, v[258] = -1.15902
x[259] = 180.222, v[259] = -1.04837
x[260] = 180.172, v[260] = -0.992927
x[261] = 180.123, v[261] = -0.986832
x[262] = 180.073, v[262] = -1.00801
x[263] = 180.022, v[263] = -1.02811
x[264] = 179.97, v[264] = -1.02527
x[265] = 179.92, v[265] = -0.99491
x[266] = 179.871, v[266] = -0.95241
